date,time,zoneCalendarEvent,zoneAveTemp,outdoorTemp,zoneCoolTemp,zoneHeatTemp,zoneHvacMode,zoneOccupancy,zoneHumidity,zoneHumidityLow,zoneHumidityHigh,auxHeat1,auxHeat2,auxHeat3,compCool1,compCool2,compHeat1,compHeat2,dehumidifier,dmOffset,economizer,fan,humidifier,outdoorHumidity,kW,kWh
2016-04-05,17:00:00,,68.5,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:05:00,,68.5,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:10:00,,68.6,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:15:00,,68.7,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:20:00,,68.8,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:25:00,,68.8,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:30:00,,68.9,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:35:00,,68.9,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:40:00,,69,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:45:00,,69,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:50:00,,69,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,17:55:00,,69,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:00:00,,68.9,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:05:00,,68.9,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:10:00,,68.9,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:15:00,,68.8,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:20:00,,68.8,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:25:00,,68.8,44.2,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:30:00,,68.9,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:35:00,,68.9,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:40:00,,68.8,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:45:00,,68.8,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:50:00,,68.8,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,18:55:00,,68.7,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,19:00:00,,68.6,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,19:05:00,,68.5,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,19:10:00,,68.5,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,19:15:00,,68.4,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,19:20:00,,68.3,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,19:25:00,,68.2,41.1,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,26,0,0
2016-04-05,19:30:00,,68.1,,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0
2016-04-05,19:35:00,,68,,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0
2016-04-05,19:40:00,,68,,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0
2016-04-05,19:45:00,,67.9,,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0
2016-04-05,19:50:00,,67.8,,78,68,compressorHeatOff,0,35,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0
