Date,Time,kW,kWh
4/5/2016,17:00:00,1.44,0.12
4/5/2016,17:05:00,1.44,0.12
4/5/2016,17:10:00,2.15,0.18
4/5/2016,17:15:00,2.15,0.18
4/5/2016,17:20:00,2.87,0.24
4/5/2016,17:25:00,2.87,0.24
4/5/2016,17:30:00,2.87,0.24
4/5/2016,17:35:00,2.87,0.24
4/5/2016,17:40:00,2.87,0.24
4/5/2016,17:45:00,2.87,0.24
4/5/2016,17:50:00,0.72,0.06
4/5/2016,17:55:00,0.72,0.06
4/5/2016,18:00:00,0.72,0.06
4/5/2016,18:05:00,0.00,0.00
4/5/2016,18:10:00,0.00,0.00
4/5/2016,18:15:00,0.00,0.00
4/5/2016,18:20:00,0.00,0.00
4/5/2016,18:25:00,0.00,0.00
4/5/2016,18:30:00,0.00,0.00
4/5/2016,18:35:00,0.00,0.00
4/5/2016,18:40:00,0.00,0.00
4/5/2016,18:45:00,0.00,0.00
4/5/2016,18:50:00,0.00,0.00
4/5/2016,18:55:00,0.00,0.00
4/5/2016,19:00:00,0.00,0.00
4/5/2016,19:05:00,0.72,0.06
4/5/2016,19:10:00,1.44,0.12
4/5/2016,19:15:00,1.44,0.12
4/5/2016,19:20:00,1.44,0.12
4/5/2016,19:25:00,1.44,0.12
4/5/2016,19:30:00,1.44,0.12
4/5/2016,19:35:00,1.44,0.12
4/5/2016,19:40:00,0.72,0.06
4/5/2016,19:45:00,0.72,0.06
4/5/2016,19:50:00,0.00,0.00
